 1  ensemble_105_105.pdb
 1  ensemble_105_120.pdb
 1  ensemble_105_135.pdb
 1  ensemble_105_150.pdb
 1  ensemble_105_165.pdb
 1  ensemble_105_180.pdb
 1  ensemble_105_195.pdb
 1  ensemble_105_210.pdb
 1  ensemble_105_225.pdb
 1  ensemble_105_240.pdb
 0  ensemble_105_255.pdb
 0  ensemble_105_270.pdb
 0  ensemble_105_285.pdb
 0  ensemble_105_300.pdb
 0  ensemble_105_315.pdb
 0  ensemble_105_330.pdb
 0  ensemble_105_345.pdb
 0  ensemble_120_0.pdb
 0  ensemble_120_15.pdb
 0  ensemble_120_30.pdb
 0  ensemble_120_45.pdb
 1  ensemble_120_60.pdb
 1  ensemble_120_75.pdb
 1  ensemble_120_90.pdb
 1  ensemble_120_105.pdb
 1  ensemble_120_120.pdb
 1  ensemble_120_135.pdb
 1  ensemble_120_150.pdb
 1  ensemble_120_165.pdb
 1  ensemble_120_180.pdb
 1  ensemble_120_195.pdb
 1  ensemble_120_210.pdb
 1  ensemble_120_225.pdb
 1  ensemble_120_240.pdb
 0  ensemble_120_255.pdb
 0  ensemble_120_270.pdb
 0  ensemble_120_285.pdb
 0  ensemble_120_300.pdb
 0  ensemble_120_315.pdb
 0  ensemble_120_330.pdb
 0  ensemble_120_345.pdb
 0  ensemble_135_0.pdb
 0  ensemble_135_15.pdb
 0  ensemble_135_30.pdb
 1  ensemble_135_45.pdb
 1  ensemble_135_60.pdb
 1  ensemble_135_75.pdb
 1  ensemble_135_90.pdb
 1  ensemble_135_105.pdb
 1  ensemble_135_120.pdb
 1  ensemble_135_135.pdb
 1  ensemble_135_150.pdb
 1  ensemble_135_165.pdb
 1  ensemble_135_180.pdb
 1  ensemble_135_195.pdb
 1  ensemble_135_210.pdb
 1  ensemble_135_225.pdb
 1  ensemble_135_240.pdb
 0  ensemble_135_255.pdb
 0  ensemble_135_270.pdb
 0  ensemble_135_285.pdb
 0  ensemble_135_300.pdb
 0  ensemble_135_315.pdb
 0  ensemble_135_330.pdb
 0  ensemble_135_345.pdb
 0  ensemble_150_0.pdb
 0  ensemble_150_15.pdb
 1  ensemble_150_30.pdb
 1  ensemble_150_45.pdb
 1  ensemble_150_60.pdb
 1  ensemble_150_75.pdb
 1  ensemble_150_90.pdb
 1  ensemble_150_105.pdb
 1  ensemble_150_120.pdb
 1  ensemble_150_135.pdb
 1  ensemble_150_150.pdb
 1  ensemble_150_165.pdb
 1  ensemble_150_180.pdb
 1  ensemble_150_195.pdb
 1  ensemble_150_210.pdb
 1  ensemble_150_225.pdb
 1  ensemble_150_240.pdb
 0  ensemble_150_255.pdb
 0  ensemble_150_270.pdb
 0  ensemble_150_285.pdb
 0  ensemble_150_300.pdb
 0  ensemble_150_315.pdb
 0  ensemble_150_330.pdb
 0  ensemble_150_345.pdb
 0  ensemble_165_0.pdb
 1  ensemble_165_15.pdb
 1  ensemble_165_30.pdb
 1  ensemble_165_45.pdb
 1  ensemble_165_60.pdb
 1  ensemble_165_75.pdb
 1  ensemble_165_90.pdb
 1  ensemble_165_105.pdb
 1  ensemble_165_120.pdb
 1  ensemble_165_135.pdb
 1  ensemble_165_150.pdb
 1  ensemble_165_165.pdb
 1  ensemble_165_180.pdb
 1  ensemble_165_195.pdb
 1  ensemble_165_210.pdb
 1  ensemble_165_225.pdb
 1  ensemble_165_240.pdb
 1  ensemble_165_255.pdb
 0  ensemble_165_270.pdb
 0  ensemble_165_285.pdb
 0  ensemble_165_300.pdb
 0  ensemble_165_315.pdb
 0  ensemble_165_330.pdb
 1  ensemble_165_345.pdb
 1  ensemble_180_0.pdb
 1  ensemble_180_15.pdb
 1  ensemble_180_30.pdb
 1  ensemble_180_45.pdb
 1  ensemble_180_60.pdb
 1  ensemble_180_75.pdb
 1  ensemble_180_90.pdb
 1  ensemble_180_105.pdb
 1  ensemble_180_120.pdb
 1  ensemble_180_135.pdb
 1  ensemble_180_150.pdb
 1  ensemble_180_165.pdb
 1  ensemble_180_180.pdb
 1  ensemble_180_195.pdb
 1  ensemble_180_210.pdb
 1  ensemble_180_225.pdb
 1  ensemble_180_240.pdb
 1  ensemble_180_255.pdb
 0  ensemble_180_270.pdb
 0  ensemble_180_285.pdb
 0  ensemble_180_300.pdb
 1  ensemble_180_315.pdb
 1  ensemble_180_330.pdb
 1  ensemble_180_345.pdb
 1  ensemble_195_0.pdb
 1  ensemble_195_15.pdb
 1  ensemble_195_30.pdb
 1  ensemble_195_45.pdb
 1  ensemble_195_60.pdb
 1  ensemble_195_75.pdb
 1  ensemble_195_90.pdb
 1  ensemble_195_105.pdb
 1  ensemble_195_120.pdb
 1  ensemble_195_135.pdb
